word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
heinous,extremely wicked,evil,atrocious,admirable,praiseworthy,The heinous crime shocked the entire community.
helix,a spiral shape,spiral,coil,straight line,curve,DNA is arranged in a double helix structure.
heresy,beliefs against accepted teaching,blasphemy,unorthodoxy,orthodoxy,conformity,In medieval times heresy was punished severely.
heroic,very brave,brave,courageous,cowardly,timid,The heroic firefighter rescued the family from flames.
hesitant,uncertain and slow to act,uncertain,reluctant,decisive,confident,She was hesitant to speak up in the meeting.
hiatus,a pause or gap in activity,break,interruption,continuation,persistence,The band took a hiatus from touring for a year.
hierarchical,arranged in order of importance,ranked,graded,equal,flat,The hierarchical structure had many levels of management.
hierarchy,a system of ranking,order,ranking,equality,disorder,The military has a strict hierarchy of command.
hilarious,extremely funny,funny,amusing,serious,boring,The hilarious comedy show had everyone laughing.
hinder,to make difficult or slow,obstruct,impede,help,assist,The heavy traffic hindered their journey to school.
hindrance,something that makes progress difficult,obstacle,impediment,help,aid,The lack of funding was a hindrance to the project.
homogeneous,all of the same kind,uniform,identical,varied,diverse,The homogeneous mixture had no visible differences.
homograph,words spelled the same but different meanings,same spelling,identical letters,different spelling,unique,Bow and bow are homographs with different meanings.
homonym,words that sound and spell the same,same word,identical,different,unique,The word bank is a homonym meaning both river edge and financial institution.
homophone,words that sound the same but spell differently,same sound,sound-alike,different sound,unique,There their and they're are homophones.
horrendous,extremely unpleasant,terrible,awful,wonderful,pleasant,The horrendous weather ruined the outdoor event.
hospitable,friendly and welcoming to guests,welcoming,friendly,unwelcoming,hostile,The hospitable family invited us to stay for dinner.
hostile,unfriendly and aggressive,unfriendly,aggressive,friendly,welcoming,The hostile crowd made the visitors feel unwelcome.
hostility,unfriendly and aggressive behaviour,aggression,antagonism,friendship,goodwill,There was open hostility between the rival groups.
hubris,excessive pride,arrogance,pride,humility,modesty,His hubris led to his eventual downfall.
humane,showing kindness and compassion,kind,compassionate,cruel,inhumane,The humane treatment of animals is very important.
humiliate,to make someone feel ashamed,embarrass,shame,honour,praise,It is cruel to humiliate someone in front of others.
humorous,funny and amusing,funny,comical,serious,unfunny,Her humorous stories always made everyone laugh.
hybrid,a mixture of two different things,mixture,cross,pure,unmixed,The hybrid car uses both petrol and electricity.
hygienic,clean and free from germs,clean,sanitary,dirty,unhygienic,The restaurant maintained hygienic kitchen standards.
hyperbole,exaggerated statements not meant literally,exaggeration,overstatement,understatement,accuracy,Saying I'm starving is hyperbole when you're just hungry.
hypocrite,someone who pretends to have beliefs they don't,pretender,faker,genuine person,honest person,He was called a hypocrite for not practising what he preached.
hypocritical,behaving like a hypocrite,insincere,two-faced,sincere,genuine,It was hypocritical to criticise others for being late.
hypothetical,based on imagination not fact,theoretical,supposed,actual,real,We discussed a hypothetical situation in class.
hysterical,wildly emotional or very funny,frantic,hilarious,calm,composed,The children became hysterical with excitement.
idiom,a phrase with a figurative meaning,expression,phrase,literal meaning,definition,Raining cats and dogs is a common English idiom.
idiosyncrasy,a peculiar personal habit,quirk,peculiarity,normality,conformity,Her idiosyncrasy of humming while working amused colleagues.
idyllic,extremely happy and peaceful,perfect,picturesque,imperfect,unpleasant,They spent an idyllic summer in the countryside.
ignominious,deserving or causing public disgrace,shameful,humiliating,honourable,glorious,The team suffered an ignominious defeat.
ignominy,public shame and disgrace,shame,disgrace,honour,glory,He suffered the ignominy of being sent off the field.
illicit,forbidden by law or rules,illegal,unlawful,legal,permitted,The police discovered an illicit operation.
illuminate,to light up or make clear,light,brighten,darken,obscure,The candles illuminate the room beautifully.
illusory,based on illusion not reality,deceptive,false,real,genuine,The oasis in the desert was illusory.
illustrious,famous and admired,famous,renowned,unknown,obscure,The illustrious scientist won many awards.
imbalance,lack of balance or proportion,inequality,disproportion,balance,equality,There was an imbalance in the distribution of resources.
immaculate,perfectly clean and tidy,spotless,flawless,dirty,messy,Her immaculate bedroom impressed her parents.
immerse,to put completely into liquid or involve deeply,submerge,plunge,remove,extract,He liked to immerse himself in books during holidays.
imminent,about to happen very soon,impending,approaching,distant,remote,The imminent storm forced everyone indoors.
immoral,not following moral principles,unethical,wrong,moral,ethical,Cheating on exams is considered immoral behaviour.
immutable,unchangeable,unchanging,fixed,changeable,mutable,The laws of physics are immutable.
impair,to weaken or damage,damage,harm,improve,enhance,Loud music can impair your hearing over time.
impartial,fair and not favouring any side,fair,unbiased,biased,partial,The judge must be impartial when deciding cases.
impassive,showing no emotion,emotionless,expressionless,emotional,expressive,Her impassive face revealed nothing about her thoughts.
impeccable,faultless and perfect,flawless,perfect,flawed,imperfect,His impeccable manners impressed everyone at dinner.
impecunious,having little or no money,poor,penniless,wealthy,rich,The impecunious student worked part-time to pay for books.
impede,to slow down or block progress,hinder,obstruct,help,assist,The fallen tree impeded traffic for hours.
impel,to urge or drive forward,drive,compel,discourage,deter,Her curiosity impelled her to investigate further.
imperative,extremely important or necessary,essential,vital,unnecessary,optional,It is imperative to follow the safety instructions.
imperceptible,impossible to see or notice,unnoticeable,invisible,noticeable,obvious,The change was so gradual it was almost imperceptible.
imperious,arrogant and domineering,commanding,authoritative,humble,submissive,Her imperious manner made her unpopular with colleagues.
impermeable,not allowing liquid to pass through,waterproof,watertight,permeable,porous,The impermeable material kept the water out.
impervious,not affected by,unaffected,resistant,vulnerable,susceptible,He seemed impervious to criticism and continued regardless.
impetuous,acting quickly without thinking,rash,impulsive,cautious,thoughtful,His impetuous decision caused many problems later.
implausible,not believable,unbelievable,unlikely,plausible,believable,The implausible excuse did not convince anyone.
implicate,to show involvement in wrongdoing,involve,incriminate,exonerate,clear,The evidence seemed to implicate him in the crime.
implicitly,without being directly stated,indirectly,tacitly,explicitly,directly,She implicitly agreed by not objecting.
implied,suggested without being directly stated,suggested,hinted,stated,explicit,Her silence implied that she agreed with the decision.
impose,to force something on someone,force,inflict,remove,withdraw,The government decided to impose new taxes.
imposter,someone pretending to be someone else,fraud,fake,genuine,authentic,The imposter was caught trying to enter with a fake badge.
impoverished,extremely poor,poor,destitute,wealthy,prosperous,The impoverished village needed urgent aid.
impregnated,soaked with a substance,saturated,infused,dried,empty,The cloth was impregnated with waterproofing liquid.
impromptu,done without preparation,spontaneous,unrehearsed,planned,rehearsed,She gave an impromptu speech at the party.
improvise,to make up as you go along,ad-lib,invent,prepare,rehearse,The actors had to improvise when they forgot their lines.
imprudent,not showing care for consequences,unwise,foolish,prudent,wise,It was imprudent to spend all his savings at once.
impudence,rude behaviour,rudeness,cheek,respect,politeness,His impudence in answering back shocked the teacher.
impudent,rude and disrespectful,cheeky,insolent,respectful,polite,The impudent child refused to apologise.
inaccurate,not correct or exact,incorrect,wrong,accurate,correct,The inaccurate report contained several errors.
inadequate,not enough or not good enough,insufficient,deficient,adequate,sufficient,The inadequate lighting made reading difficult.
inadvertently,by accident not intentionally,accidentally,unintentionally,deliberately,intentionally,She inadvertently deleted the important file.
inane,silly and without meaning,stupid,senseless,sensible,intelligent,His inane comments contributed nothing to the discussion.
inattentive,not paying attention,distracted,careless,attentive,focused,The inattentive student missed the instructions.
inaudible,too quiet to be heard,silent,unheard,audible,loud,Her whisper was inaudible in the noisy room.
inaugural,marking the beginning,opening,first,final,closing,The inaugural meeting of the new club was well attended.
inaugurate,to begin or introduce officially,launch,initiate,end,conclude,The mayor will inaugurate the new library tomorrow.
incense,to make very angry or a fragrant substance,anger,enrage,calm,soothe,The unfair decision incensed all the players.
incentive,something that motivates action,motivation,encouragement,discouragement,deterrent,The bonus was a good incentive to work harder.
incessant,continuing without stopping,constant,continuous,intermittent,occasional,The incessant rain lasted for three days.
incidental,happening by chance not planned,accidental,minor,deliberate,main,The incidental costs were more than expected.
incision,a surgical cut,cut,slit,closure,join,The surgeon made a small incision to begin the operation.
incisive,clear and direct,sharp,penetrating,vague,dull,Her incisive questions revealed the truth quickly.
incite,to encourage violent or unlawful behaviour,provoke,stir up,calm,discourage,It is illegal to incite violence against others.
incline,to lean or have a tendency,lean,tend,straighten,resist,The hill began to incline steeply towards the top.
inclusive,including everyone,comprehensive,all-embracing,exclusive,limited,The school promotes inclusive education for all abilities.
incoherent,unclear and difficult to understand,confused,muddled,coherent,clear,His incoherent explanation made no sense at all.
incongruous,not fitting or out of place,inappropriate,unsuitable,appropriate,fitting,The modern building looked incongruous next to the old church.
inconsequential,not important,trivial,unimportant,important,significant,The mistake was inconsequential and easily fixed.
inconspicuous,not easily noticed,unnoticeable,hidden,conspicuous,obvious,She tried to remain inconspicuous at the back of the room.
inconvenient,causing difficulty,awkward,troublesome,convenient,handy,The meeting was scheduled at an inconvenient time.
incorporate,to include as part of a whole,include,integrate,exclude,separate,The design will incorporate several new features.
incorrigible,impossible to change or improve,hopeless,irredeemable,reformable,improvable,The incorrigible troublemaker was always in detention.
incredulous,unable or unwilling to believe,disbelieving,sceptical,believing,credulous,She gave him an incredulous look when he told the story.
incumbent,currently holding an office or necessary,current,obligatory,outgoing,optional,It is incumbent upon all citizens to vote.
indifferent,having no interest or preference,uncaring,apathetic,interested,concerned,He seemed indifferent to the outcome of the game.
indigent,very poor,impoverished,destitute,wealthy,affluent,The charity helps indigent families find housing.
indignant,angry about unfair treatment,angry,outraged,pleased,satisfied,She was indignant when accused of something she didn't do.
indiscriminate,without careful judgement,random,unselective,discriminate,selective,The indiscriminate use of chemicals harmed wildlife.
indolent,lazy and avoiding effort,lazy,idle,industrious,hardworking,The indolent cat spent all day sleeping in the sun.
indomitable,impossible to defeat,unconquerable,invincible,weak,defeatable,Her indomitable spirit helped her overcome all obstacles.
induce,to persuade or cause to happen,persuade,cause,prevent,discourage,The warm weather induced everyone to go outside.
indulge,to allow oneself pleasure,pamper,spoil,deny,deprive,She decided to indulge in a piece of chocolate cake.
industrious,hardworking and diligent,hardworking,diligent,lazy,idle,The industrious students finished their work early.
inedible,not suitable for eating,uneatable,unpalatable,edible,tasty,Some mushrooms are inedible and can be poisonous.
ineffable,too great to be expressed in words,indescribable,unspeakable,describable,expressible,The beauty of the sunset was ineffable.
ineffectual,not producing the desired effect,useless,ineffective,effective,successful,His ineffectual attempts to fix the problem only made it worse.
inept,lacking skill or ability,incompetent,clumsy,competent,skilled,The inept goalkeeper let in five goals.
ineptitude,lack of skill or ability,incompetence,clumsiness,competence,skill,His ineptitude with technology was well known.
inequity,unfairness or injustice,unfairness,injustice,equity,fairness,The inequity in pay between men and women must be addressed.
inert,without power to move or act,inactive,motionless,active,dynamic,The inert gas does not react with other chemicals.
inertia,resistance to change or motion,inactivity,sluggishness,activity,momentum,Overcoming inertia is the hardest part of starting exercise.
inevitable,certain to happen,unavoidable,certain,avoidable,uncertain,Making mistakes when learning is inevitable.
inevitably,certain to happen as expected,unavoidably,certainly,possibly,unlikely,The project inevitably took longer than planned.
inexplicable,impossible to explain,unexplainable,mysterious,explicable,understandable,The inexplicable disappearance remained unsolved.
infamous,well-known for having done something wrong or shameful,notorious,disreputable,famous,reputable,The infamous villain terrorised the neighbourhood.
infamy,the state of being well-known for something wrong or shameful,notoriety,disgrace,fame,honour,He achieved infamy for his terrible deeds.
infatuate,to inspire with intense passion,captivate,obsess,repel,bore,He became infatuated with the beautiful singer.
infer,to conclude from evidence,deduce,conclude,guess,assume,From the clues we can infer who committed the crime.
inference,a conclusion based on evidence,deduction,conclusion,guess,assumption,Her inference from the data proved to be correct.
infernal,relating to hell or extremely annoying,hellish,diabolical,heavenly,pleasant,The infernal noise from the building site never stopped.
infiltrate,to enter secretly,penetrate,invade,exit,leave,The spy managed to infiltrate the enemy organisation.
influential,having great influence,powerful,important,powerless,insignificant,She was an influential figure in the community.
infuse,to fill with a quality or flavour,fill,instil,drain,empty,The tea was infused with the flavour of mint.
ingenious,clever and original,clever,inventive,unimaginative,stupid,The ingenious solution solved the problem instantly.
ingrate,an ungrateful person,ungrateful person,thankless person,grateful person,appreciative person,Only an ingrate would complain after receiving such help.
inhabitant,a person who lives in a place,resident,dweller,visitor,tourist,The island had fewer than a hundred inhabitants.
inhale,to breathe in,breathe in,inspire,exhale,breathe out,She inhaled the fresh mountain air deeply.
inherent,existing as a natural part,natural,innate,acquired,learned,Curiosity is inherent in young children.
initiate,to begin or start something,begin,start,end,conclude,The company decided to initiate a new training programme.
injustice,unfair treatment,unfairness,wrong,justice,fairness,She fought against injustice throughout her life.
innate,existing from birth natural,inborn,natural,acquired,learned,She had an innate talent for music.
innocuous,not harmful or offensive,harmless,inoffensive,harmful,dangerous,The innocuous remark was misunderstood by everyone.
innovation,a new idea or method,invention,novelty,tradition,convention,The smartphone was one of the greatest innovations.
innuendo,an indirect suggestion,hint,insinuation,statement,declaration,She made an innuendo about his poor timekeeping.
inopportune,at an unsuitable time,inconvenient,untimely,opportune,timely,He arrived at an inopportune moment during the meeting.
inquisitive,eager to know and learn,curious,questioning,uninterested,indifferent,The inquisitive child asked questions about everything.
insatiable,impossible to satisfy,unquenchable,greedy,satisfied,content,He had an insatiable appetite for adventure.
insidious,spreading harm gradually,stealthy,sneaky,obvious,harmless,The insidious disease spread without anyone noticing.
insightful,showing deep understanding,perceptive,wise,shallow,superficial,Her insightful comments added depth to the discussion.
insignificant,too small to be worth consideration,unimportant,trivial,significant,important,The difference in price was insignificant.
insinuate,to suggest indirectly,imply,hint,state,declare,She seemed to insinuate that he was lying.
insipid,lacking flavour or interest,bland,dull,tasty,interesting,The insipid soup needed more seasoning.
insistent,demanding attention firmly,persistent,forceful,yielding,flexible,He was insistent that we follow the rules exactly.
insolent,rude and disrespectful,impertinent,cheeky,respectful,polite,The insolent student was sent to the headteacher.
inspiring,filling with enthusiasm,motivating,uplifting,depressing,discouraging,Her inspiring speech motivated the whole team.
instigate,to start or bring about,initiate,provoke,prevent,stop,He was accused of trying to instigate a fight.
instructive,useful for learning,educational,informative,uninformative,useless,The museum visit was very instructive.
insufferable,impossible to tolerate,unbearable,intolerable,bearable,tolerable,His insufferable arrogance annoyed everyone.
insular,narrow-minded or isolated,narrow,isolated,broad-minded,open,Their insular attitude prevented new ideas.
insulting,rude and offensive,offensive,abusive,complimentary,respectful,His insulting remarks hurt her feelings deeply.
insurgent,a rebel against authority,rebel,revolutionary,loyalist,conformist,The insurgents fought against the government forces.
insurmountable,impossible to overcome,impossible,overwhelming,surmountable,achievable,The challenge seemed insurmountable at first.
intact,whole and undamaged,complete,undamaged,damaged,broken,Remarkably the ancient vase remained intact.
intangible,impossible to touch or define clearly,abstract,vague,tangible,concrete,Love is an intangible but powerful emotion.
integral,essential to completeness,essential,fundamental,unnecessary,optional,Hard work is integral to success.
integrity,honesty and moral principles,honesty,honour,dishonesty,corruption,She is known for her integrity and fair dealing.
intercede,to act between parties to help,mediate,intervene,ignore,abandon,The teacher had to intercede in the argument.
intermittent,stopping and starting irregularly,sporadic,irregular,continuous,constant,The intermittent rain made planning difficult.
interpret,to explain the meaning,explain,translate,misinterpret,confuse,The guide helped interpret the ancient symbols.
interrogate,to question closely,question,examine,ignore,accept,The detective began to interrogate the witness.
intervene,to come between to help,intercede,mediate,ignore,withdraw,The referee had to intervene to stop the fight.
intimate,very close or private,close,personal,distant,public,They shared an intimate conversation over dinner.
intimidate,to frighten into submission,threaten,frighten,encourage,reassure,The bully tried to intimidate the smaller children.
intractable,difficult to control or deal with,unmanageable,stubborn,manageable,tractable,The intractable problem required a creative solution.
intrepid,fearless and adventurous,brave,fearless,fearful,cowardly,The intrepid explorer ventured into the unknown jungle.
intricate,very detailed and complicated,complex,elaborate,simple,basic,The intricate design took months to create.
intrinsic,belonging naturally,inherent,essential,extrinsic,external,Hard work has intrinsic value beyond the rewards.
introspective,examining one's own thoughts and feelings,reflective,contemplative,outgoing,extroverted,She was an introspective person who enjoyed quiet reflection.
introvert,a shy quiet person,shy person,loner,extrovert,socialite,As an introvert she preferred reading alone.
intuition,understanding without reasoning,instinct,gut feeling,logic,reasoning,Her intuition told her something was wrong.
intuitive,understanding something instinctively without reasoning,instinctive,natural,logical,analytical,He had an intuitive understanding of how the machine worked.
inundate,to overwhelm with too much of something,flood,overwhelm,drain,empty,The heavy rain threatened to inundate the small village.
invaluable,extremely useful,priceless,precious,worthless,useless,Her experience proved invaluable during the crisis.
irascible,easily angered,irritable,bad-tempered,calm,placid,The irascible man shouted at everyone who annoyed him.
irate,extremely angry,furious,enraged,calm,pleased,The irate customer demanded to see the manager.
ironic,meaning the opposite of what is said,sarcastic,satirical,sincere,literal,It was ironic that the fire station burned down.
irrational,not logical or reasonable,illogical,unreasonable,rational,logical,Her irrational fear of spiders began in childhood.
irrelevant,not connected to the subject,unrelated,unconnected,relevant,pertinent,That information is completely irrelevant to the discussion.
irreproachable,beyond criticism or fault,blameless,impeccable,faulty,blameworthy,Her irreproachable behaviour earned her the respect of all.
irresolute,uncertain how to act or proceed,hesitant,indecisive,resolute,determined,He was irresolute about which path to take.
irreverence,lack of respect for something serious,disrespect,impudence,reverence,respect,His irreverence towards tradition shocked the elders.
irreverent,showing lack of respect for something serious,disrespectful,impudent,reverent,respectful,The irreverent comment offended many people.
isolation,the state of being alone or separated,seclusion,solitude,company,togetherness,The isolation of the remote island made it peaceful.
jabber,to talk quickly and incoherently,chatter,babble,listen,silence,The excited children began to jabber all at once.
jargon,specialised language,terminology,slang,plain language,simplicity,Medical jargon can be confusing for patients.
jeopardy,danger of loss or harm,danger,risk,safety,security,The company's future was in jeopardy.
jewel,a precious stone or valuable person,gem,treasure,pebble,rubbish,The diamond was a beautiful jewel in her ring.
jittery,feeling nervous or anxious,nervous,anxious,calm,relaxed,She felt jittery before her first day at school.
jocular,fond of joking,humorous,witty,serious,solemn,His jocular manner made everyone laugh.
jovial,cheerful and friendly,cheerful,friendly,miserable,unfriendly,The jovial host greeted everyone warmly.
joyous,full of happiness and joy,joyful,happy,sad,miserable,It was a joyous occasion when they won the match.
judicious,showing good judgement,wise,sensible,unwise,foolish,A judicious use of resources saved the project.
justification,a good reason for something,reason,explanation,accusation,condemnation,There was no justification for his rude behaviour.
juxtapose,to place side by side,compare,contrast,separate,isolate,The artist liked to juxtapose old and new images.
kindle,to start a fire or arouse feelings,ignite,spark,extinguish,suppress,The campfire was hard to kindle in the damp weather.
kowtow,to show excessive respect or submission,submit,yield,resist,defy,He refused to kowtow to the bully's demands.
labyrinth,a complicated network of passages,maze,network,straight path,simple route,The old castle contained a labyrinth of corridors.
laconic,using very few words,brief,terse,wordy,verbose,His laconic reply revealed nothing about his feelings.
lament,to express sorrow,mourn,grieve,celebrate,rejoice,The widow continued to lament the loss of her husband.
languid,lacking energy,sluggish,listless,energetic,lively,The languid summer afternoon made everyone sleepy.
languish,to become weak or suffer,weaken,fade,thrive,flourish,The plants began to languish without water.
lassitude,a state of physical or mental weariness,lethargy,weariness,energy,vigour,"After the long journey, she felt a deep lassitude and needed to rest."
lavish,very generous or luxurious,extravagant,luxurious,meagre,modest,The lavish party cost thousands of pounds.
legacy,something passed down from the past,inheritance,heritage,future,present,The ancient buildings are part of our cultural legacy.
lenient,not strict in punishing,mild,tolerant,strict,harsh,The lenient judge gave only a warning.
lethargic,lacking energy,sluggish,drowsy,energetic,lively,The hot weather made everyone feel lethargic.
levity,"lightness of manner or speech, especially when inappropriate",light-heartedness,frivolity,seriousness,gravity,His levity during the serious meeting was not appreciated by the teachers.
libel,a published false statement that damages someone's reputation,defamation,slander,praise,compliment,The newspaper was sued for libel after printing false information about the mayor.
linger,to stay longer than expected,remain,loiter,leave,depart,She liked to linger in the garden on summer evenings.
listlessness,a lack of interest or energy,lethargy,apathy,enthusiasm,energy,The hot weather caused a feeling of listlessness among the students.
litigation,the process of taking legal action,lawsuit,legal proceedings,settlement,agreement,The company faced expensive litigation after the accident.
litotes,a figure of speech using understatement by negating the opposite,understatement,meiosis,hyperbole,exaggeration,"Saying ""not bad"" when something is excellent is an example of litotes."
loathe,to hate intensely,hate,detest,love,adore,I loathe having to get up early on cold mornings.
loathsome,causing hatred or disgust,repulsive,disgusting,pleasant,delightful,The villain's loathsome behaviour made everyone avoid him.
lofty,very tall or noble,high,elevated,low,humble,The lofty mountains were covered in snow.
loquacious,very talkative,talkative,chatty,quiet,silent,The loquacious guest monopolised the conversation.
lucid,clear and easy to understand,clear,coherent,confused,unclear,His lucid explanation helped everyone understand.
lucrative,producing much profit,profitable,rewarding,unprofitable,unrewarding,The lucrative business earned millions each year.
ludicrous,absurd and ridiculous,absurd,ridiculous,sensible,reasonable,The ludicrous costume made everyone laugh.
luminary,"a person who inspires or influences others, especially in a particular field",celebrity,notable,nobody,unknown,The scientist was a luminary in the field of physics.
luminous,giving off light,glowing,bright,dark,dim,The luminous paint glowed in the darkness.
lunar,relating to the moon,moon,selenian,solar,terrestrial,The astronauts studied the lunar surface during their mission.
lurid,"vivid in colour, especially so as to create an unpleasantly harsh effect",vivid,garish,subtle,muted,The lurid colours of the sunset filled the sky with bright oranges and reds.
lustrous,shining and glossy,shiny,gleaming,dull,matt,Her lustrous hair shone in the sunlight.
macabre,disturbing because of death or horror,gruesome,ghastly,pleasant,cheerful,The macabre story gave everyone nightmares.
machiavellian,"cunning and scheming, especially in politics",devious,manipulative,honest,straightforward,The politician's machiavellian tactics helped him win the election.
machinate,to engage in plots or schemes,scheme,plot,cooperate,assist,The villains began to machinate against the hero.
magnanimous,generous and forgiving,generous,noble,mean,petty,The magnanimous winner praised his opponent.
magnate,"a wealthy and influential person, especially in business",tycoon,mogul,pauper,commoner,The business magnate owned several large companies.
magnetic,having the power to attract or charm,attractive,charming,repulsive,unattractive,She had a magnetic personality that drew people to her.
majestic,grand and impressive,grand,stately,humble,ordinary,The majestic mountains rose above the clouds.
maladroit,ineffective or bungling,clumsy,awkward,skilful,adept,His maladroit attempt to fix the computer only made things worse.
malady,an illness or disease,illness,disease,health,wellness,The doctor identified the malady as flu.
malapropism,the mistaken use of a word in place of a similar-sounding one,misuse,error,correct usage,accuracy,"Saying ""dance a flamingo"" instead of ""dance a flamenco"" is a malapropism."
malevolent,wishing harm to others,evil,malicious,benevolent,kind,The malevolent witch cast a terrible spell.
malice,the intention to do harm,spite,ill will,kindness,benevolence,"He spoke with malice, hoping to hurt her feelings."
malicious,intending to cause harm,spiteful,nasty,kind,benevolent,Spreading malicious rumours can hurt people badly.
malign,to speak badly about someone,defame,slander,praise,defend,It is wrong to malign someone without evidence.
malignant,very harmful or dangerous,harmful,destructive,benign,harmless,The malignant tumour required immediate treatment.
malleable,easily shaped or influenced,flexible,pliable,rigid,inflexible,Gold is a highly malleable metal.
manageable,able to be managed or controlled,controllable,feasible,unmanageable,impossible,The task seemed large but was actually quite manageable.
mangle,to severely damage or mutilate,mutilate,damage,repair,restore,The machine began to mangle the papers that were fed into it.
manifest,clear and obvious or to show,obvious,evident,hidden,unclear,His talent manifested itself at an early age.
mariner,a sailor,sailor,seafarer,landsman,non-sailor,The experienced mariner had sailed across many oceans.
marred,spoiled or damaged,spoiled,damaged,perfect,flawless,The beautiful view was marred by the construction site.
masculinity,qualities traditionally associated with men,manliness,maleness,femininity,womanhood,The film explored different ideas of masculinity.
materialism,a tendency to value material possessions over spiritual values,greed,acquisitiveness,spirituality,idealism,His materialism led him to care more about money than friendships.
maverick,an independent-minded person who does not conform,nonconformist,rebel,conformist,traditionalist,The maverick scientist challenged the accepted theories.
mayhem,violent or extreme disorder,chaos,disorder,order,calm,The children created mayhem in the classroom when the teacher left.
meander,to follow a winding course,wander,wind,go straight,direct,The river meanders through the green valley.
meanders,to follow a winding course,winds,curves,straightens,directs,The river meanders through the valley before reaching the sea.
measly,ridiculously small or few,paltry,meagre,generous,substantial,He received only a measly amount of pocket money.
meddle,to interfere in something that is not one's concern,interfere,intrude,ignore,avoid,Please do not meddle in matters that do not concern you.
mediate,to intervene between people in a dispute to bring about agreement,arbitrate,negotiate,aggravate,provoke,The teacher tried to mediate between the two arguing students.
mediocre,of only average quality,average,ordinary,excellent,outstanding,The film received mediocre reviews from the critics.
mediocrity,the state of being average or ordinary,averageness,ordinariness,excellence,superiority,He refused to accept mediocrity and always strived for excellence.
meditative,deeply thoughtful or contemplative,contemplative,thoughtful,distracted,unfocused,"She sat in a meditative pose, thinking deeply about the problem."
medley,a varied mixture,mixture,assortment,uniformity,sameness,The chef prepared a medley of vegetables for the salad.
melancholic,feeling or expressing sadness,sad,gloomy,cheerful,happy,The melancholic music made everyone feel sombre.
melancholy,a feeling of deep sadness,sadness,gloom,happiness,joy,A melancholy mood settled over her after the news.
melee,a confused fight or scuffle,scuffle,brawl,order,peace,A melee broke out when the two groups met in the street.
mellow,pleasantly smooth or soft,smooth,gentle,harsh,sharp,The mellow light of the evening sun filled the room.
melodious,pleasant sounding,tuneful,harmonious,discordant,harsh,The melodious song was beautiful to hear.
menacing,suggesting the presence of danger,threatening,ominous,reassuring,comforting,The dark clouds looked menacing as the storm approached.
mercenary,motivated primarily by money,greedy,materialistic,altruistic,selfless,His mercenary attitude meant he only cared about profit.
merciless,showing no mercy,ruthless,cruel,merciful,compassionate,The merciless ruler showed no kindness to his enemies.
mercurial,changing quickly in mood,unpredictable,volatile,stable,constant,His mercurial temperament made him hard to work with.
merry,happy and cheerful,happy,cheerful,sad,gloomy,Have a merry Christmas and happy new year!
mesmerise,to hold the attention of someone completely,hypnotise,captivate,bore,repel,The magician's tricks seemed to mesmerise the audience.
metaphor,a figure of speech that describes something by saying it is something else,comparison,analogy,literal,direct,"Saying ""time is money"" is a metaphor that compares time to currency."
methodical,done according to a systematic method,systematic,orderly,chaotic,disorganised,"She approached the problem in a methodical way, step by step."
meticulous,very careful about detail,careful,thorough,careless,sloppy,Her meticulous work impressed everyone.
metonymy,a figure of speech where a thing is referred to by the name of something associated with it,substitution,reference,direct reference,literal,"Using ""the crown"" to refer to the monarchy is an example of metonymy."
mimic,to copy or imitate,imitate,copy,originate,create,The parrot could mimic human speech perfectly.
miniscule,extremely small,tiny,minute,huge,enormous,The minuscule insect was barely visible.
misanthrope,a person who dislikes or distrusts humankind,cynic,pessimist,philanthropist,optimist,The misanthrope preferred the company of animals to people.
miscellaneous,various different types,mixed,assorted,uniform,same,The drawer contained miscellaneous items.
mischievous,playfully troublesome,naughty,playful,well-behaved,serious,The mischievous puppy chewed up the slippers.
miserly,unwilling to spend money,stingy,mean,generous,lavish,The miserly old man refused to buy new clothes.
misogynist,a person who dislikes or is prejudiced against women,sexist,chauvinist,feminist,egalitarian,His misogynist views made him unpopular with his female colleagues.
misspent,used unwisely or wastefully,wasted,squandered,well-used,invested,He regretted his misspent youth and wished he had studied harder.
mitigate,to make less severe,lessen,reduce,worsen,aggravate,Trees can help mitigate the effects of pollution.
mitigating,making something less severe or serious,lessening,reducing,aggravating,worsening,The mitigating circumstances led to a reduced sentence.
mnemonic,a device or technique used to aid memory,memory aid,reminder,forgetfulness,oblivion,"The rhyme ""i before e except after c"" is a mnemonic for spelling."
modus,a way of doing something,method,mode,chaos,disorder,The detective tried to understand the criminal's modus operandi.
mogul,an important or powerful person,magnate,tycoon,nobody,commoner,The media mogul owned several television stations.
mollify,to appease or calm someone,soothe,pacify,aggravate,provoke,He tried to mollify his angry friend with an apology.
momentous,very important,significant,crucial,trivial,unimportant,The moon landing was a momentous achievement.
monochrome,consisting of or displaying only one colour,single-colour,black and white,multicoloured,vibrant,"The old photograph was in monochrome, showing only shades of grey."
monotonous,boring because of lack of variety,boring,tedious,interesting,varied,The monotonous work made the day drag slowly.
monotony,lack of variety and interest,tedium,repetition,variety,diversity,The monotony of the daily routine made him long for adventure.
morbid,unhealthy interest in unpleasant things,unhealthy,gruesome,healthy,cheerful,He had a morbid fascination with horror films.
morose,gloomy and sullen,gloomy,sullen,cheerful,happy,She sat in morose silence after the bad news.
mournful,feeling or expressing sadness,sad,sorrowful,cheerful,joyful,The mournful music brought tears to her eyes.
