word,meaning,synonyms,antonyms,example_sentences
colloquial,"used in ordinary conversation","[""casual"", ""conversational"", ""informal""]","[""formal"", ""literary"", ""official""]","[""Avoid colloquial language in formal writing."", ""The book uses colloquial language.""]"
comfortable,"feeling relaxed and at ease","[""cosy"", ""relaxed"", ""pleasant""]","[""uncomfortable"", ""uneasy"", ""awkward""]","[""The soft armchair was very comfortable.""]"
command,"to give an order or instruction","[""order"", ""direct"", ""instruct""]","[""obey"", ""follow"", ""request""]","[""The captain gave a command to the sailors.""]"
commemorate,"to recall and honour a memory","[""honour"", ""celebrate"", ""remember""]","[""forget"", ""ignore"", ""neglect""]","[""A statue will commemorate the hero.""]"
commence,"to begin or start something","[""begin"", ""start"", ""initiate""]","[""end"", ""finish"", ""conclude""]","[""The ceremony will commence at noon.""]"
commend,"to praise formally or officially","[""praise"", ""applaud"", ""compliment""]","[""criticise"", ""condemn"", ""censure""]","[""The teacher commended her excellent work.""]"
commensurate,"corresponding in size or degree","[""proportionate"", ""equivalent"", ""comparable""]","[""disproportionate"", ""unequal"", ""unmatched""]","[""Salary will be commensurate with experience.""]"
commit,"to dedicate yourself to something","[""promise"", ""pledge"", ""devote""]","[""abandon"", ""neglect"", ""quit""]","[""I commit to practising every day.""]"
commitment,"a promise or dedication to something","[""dedication"", ""devotion"", ""pledge""]","[""indifference"", ""apathy"", ""neglect""]","[""She showed great commitment to her studies.""]"
common,"happening often or found in many places","[""usual"", ""frequent"", ""ordinary""]","[""rare"", ""unusual"", ""uncommon""]","[""Robins are a common bird in our garden.""]"
compact,"small and neatly packed together","[""compressed"", ""dense"", ""small"", ""tight""]","[""large"", ""loose"", ""spacious""]","[""The compact car is perfect for city driving."", ""The compact car was easy to park.""]"
companion,"a friend who goes with you","[""friend"", ""partner"", ""mate""]","[""enemy"", ""stranger"", ""foe""]","[""My dog is my faithful companion.""]"
comparable,"similar enough to be compared","[""similar"", ""equivalent"", ""like""]","[""different"", ""incomparable"", ""unlike""]","[""The two books are comparable in quality.""]"
compare,"to look at things to see how they are similar or different","[""contrast"", ""examine"", ""match""]","[""ignore"", ""overlook"", ""separate""]","[""Let us compare the two paintings.""]"
compassion,"sympathy and concern for others' suffering","[""sympathy"", ""kindness"", ""empathy""]","[""cruelty"", ""indifference"", ""heartlessness""]","[""She showed compassion for the homeless man.""]"
compassionate,"showing sympathy and concern","[""caring"", ""kind"", ""sympathetic""]","[""callous"", ""cruel"", ""heartless""]","[""Nurses must be compassionate towards patients.""]"
compatible,"able to exist or work together","[""harmonious"", ""suited"", ""matching""]","[""incompatible"", ""unsuited"", ""clashing""]","[""The software is compatible with all devices.""]"
compel,"to force someone to take action","[""force"", ""make"", ""oblige"", ""require""]","[""allow"", ""free"", ""permit""]","[""Evidence will compel them to act."", ""The evidence will compel him to confess.""]"
compelling,"evoking interest or attention strongly","[""convincing"", ""fascinating"", ""gripping""]","[""boring"", ""unconvincing"", ""weak""]","[""The evidence was compelling.""]"
compensate,"to give payment for loss or injury","[""make amends"", ""reimburse"", ""repay"", ""reward""]","[""deprive"", ""penalise"", ""take"", ""withhold""]","[""The company will compensate customers."", ""The company will compensate for the delay.""]"
compete,"to try to win against others","[""contest"", ""rival"", ""challenge""]","[""cooperate"", ""collaborate"", ""share""]","[""The teams will compete in the final match.""]"
competence,"the ability to do something well","[""ability"", ""capability"", ""skill""]","[""inability"", ""incompetence"", ""ineptitude""]","[""Her competence in maths impressed everyone.""]"
competent,"having necessary ability or skills","[""able"", ""capable"", ""proficient"", ""skilled""]","[""incapable"", ""incompetent"", ""unskilled""]","[""She is a competent swimmer."", ""She is a highly competent surgeon.""]"
compile,"to collect and put together information","[""collect"", ""assemble"", ""gather""]","[""scatter"", ""disperse"", ""separate""]","[""We need to compile a list of names.""]"
complacent,"smug and uncritically satisfied","[""content"", ""self-satisfied"", ""smug""]","[""concerned"", ""dissatisfied"", ""vigilant""]","[""Don't become complacent about safety."", ""Don't become complacent about success.""]"
complain,"to say you are unhappy about something","[""moan"", ""grumble"", ""protest""]","[""praise"", ""compliment"", ""accept""]","[""Please do not complain about the food.""]"
complement,"something that completes or enhances","[""accompaniment"", ""addition"", ""enhancement"", ""supplement""]","[""contrast"", ""detraction"", ""opposition"", ""reduction""]","[""The sauce complements the dish perfectly."", ""The side dish complements the meal perfectly.""]"
complete,"to finish something; having all parts","[""finish"", ""whole"", ""entire""]","[""incomplete"", ""unfinished"", ""partial""]","[""I need to complete my homework tonight.""]"
complex,"made of many parts; difficult to understand","[""complicated"", ""intricate"", ""involved""]","[""simple"", ""easy"", ""straightforward""]","[""The puzzle was very complex.""]"
compliance,"acting in accordance with rules","[""obedience"", ""conformity"", ""adherence""]","[""defiance"", ""disobedience"", ""resistance""]","[""Compliance with regulations is mandatory.""]"
compliant,"willing to conform to rules","[""obedient"", ""cooperative"", ""submissive""]","[""defiant"", ""resistant"", ""rebellious""]","[""The company was fully compliant with regulations.""]"
comply,"to obey rules or requests","[""obey"", ""follow"", ""conform""]","[""disobey"", ""defy"", ""resist""]","[""Everyone must comply with the safety rules.""]"
component,"a part of something larger","[""part"", ""element"", ""piece""]","[""whole"", ""entirety"", ""total""]","[""Each component of the machine is important.""]"
comprehend,"to understand something fully","[""understand"", ""grasp"", ""realise""]","[""misunderstand"", ""confuse"", ""miss""]","[""It took time to comprehend the instructions.""]"
comprehensive,"including all elements; thorough","[""complete"", ""thorough"", ""extensive""]","[""incomplete"", ""partial"", ""limited""]","[""The report provides a comprehensive analysis.""]"
comprise,"to be made up of","[""consist of"", ""contain"", ""include""]","[""exclude"", ""lack"", ""omit""]","[""The committee comprises ten members."", ""The team comprises twelve members.""]"
compromise,"a settlement reached by both sides giving way","[""agreement"", ""concession"", ""deal"", ""settlement""]","[""conflict"", ""disagreement"", ""dispute"", ""intransigence""]","[""They reached a compromise about the schedule."", ""They reached a compromise after negotiation.""]"
compulsion,"an irresistible urge to behave in a way","[""urge"", ""obsession"", ""drive""]","[""choice"", ""freedom"", ""option""]","[""She felt a compulsion to check the door.""]"
compulsory,"required by law or rules","[""mandatory"", ""obligatory"", ""required""]","[""optional"", ""voluntary"", ""elective""]","[""Education is compulsory until age 16.""]"
conceal,"to hide something from view","[""hide"", ""cover"", ""mask""]","[""reveal"", ""show"", ""expose""]","[""He tried to conceal his disappointment.""]"
concede,"to admit something is true after resisting","[""accept"", ""acknowledge"", ""admit""]","[""contest"", ""deny"", ""dispute""]","[""He finally conceded defeat."", ""He had to concede that he was wrong."", ""He had to concede that she was right.""]"
conceited,"excessively proud of oneself","[""vain"", ""arrogant"", ""egotistical""]","[""humble"", ""modest"", ""unassuming""]","[""The conceited actor expected special treatment.""]"
conceive,"to form an idea or become pregnant","[""create"", ""devise"", ""imagine"", ""think of""]","[""abandon"", ""destroy"", ""forget"", ""ignore"", ""overlook""]","[""She conceived a brilliant plan."", ""They conceived an ambitious plan.""]"
concentrate,"to focus your attention on one thing","[""focus"", ""pay attention"", ""think""]","[""daydream"", ""distract"", ""ignore"", ""scatter"", ""wander""]","[""Please concentrate on your work."", ""You need to concentrate during the test.""]"
concept,"an idea or principle","[""idea"", ""notion"", ""principle""]","[""reality"", ""fact"", ""actuality""]","[""The concept of fairness is important.""]"
concern,"a feeling of worry about something","[""worry"", ""care"", ""anxiety""]","[""indifference"", ""unconcern"", ""calm""]","[""There is no concern about the weather tomorrow.""]"
conciliatory,"intended to make peace","[""peacekeeping"", ""placating"", ""mollifying""]","[""confrontational"", ""aggressive"", ""hostile""]","[""Her conciliatory tone eased tensions.""]"
concise,"giving information clearly in few words","[""brief"", ""short"", ""succinct"", ""terse""]","[""lengthy"", ""verbose"", ""wordy""]","[""Keep your answer concise and to the point."", ""Keep your answer concise.""]"
conclude,"to come to an end or reach a decision","[""end"", ""finish"", ""decide""]","[""begin"", ""start"", ""continue""]","[""I conclude that we should go to the park.""]"
conclusive,"putting an end to doubt","[""decisive"", ""definitive"", ""final""]","[""doubtful"", ""inconclusive"", ""uncertain""]","[""The DNA evidence was conclusive."", ""The evidence was conclusive.""]"
concoct,"to make by mixing ingredients or invent a story","[""create"", ""devise"", ""invent""]","[""destroy"", ""disclose"", ""reveal""]","[""The chef will concoct a special dish for you.""]"
concur,"to agree with someone","[""accord"", ""agree"", ""consent""]","[""differ"", ""disagree"", ""oppose""]","[""I concur with your assessment of the situation.""]"
concurrent,"existing or happening at the same time","[""coinciding"", ""parallel"", ""simultaneous""]","[""consecutive"", ""separate"", ""sequential"", ""successive""]","[""The events were concurrent."", ""The two events are concurrent.""]"
condemn,"to express complete disapproval","[""blame"", ""censure"", ""criticise"", ""denounce""]","[""approve"", ""commend"", ""praise""]","[""Leaders condemned the terrorist attack."", ""People condemn cruelty to animals.""]"
condense,"to make something shorter or more compact","[""compress"", ""shorten"", ""reduce""]","[""expand"", ""lengthen"", ""extend""]","[""Please condense your essay to one page.""]"
condescend,"to behave as if superior to others","[""patronise"", ""talk down"", ""look down""]","[""respect"", ""treat as equal""]","[""Don't condescend to your younger siblings.""]"
condescending,"showing a superior attitude","[""patronising"", ""disdainful"", ""supercilious""]","[""respectful"", ""humble"", ""considerate""]","[""His condescending tone was offensive.""]"
condone,"to accept behaviour that is wrong","[""accept"", ""excuse"", ""overlook""]","[""condemn"", ""criticise"", ""forbid""]","[""We cannot condone bullying in any form.""]"
conducive,"making a result likely","[""beneficial"", ""favourable"", ""helpful""]","[""detrimental"", ""harmful"", ""hindering""]","[""A quiet environment is conducive to study."", ""A quiet room is conducive to study.""]"
conduct,"to organise and carry out an activity","[""carry out"", ""perform"", ""lead""]","[""neglect"", ""abandon"", ""ignore""]","[""The scientist will conduct an experiment.""]"
confer,"to grant or have discussions","[""bestow"", ""consult"", ""discuss""]","[""refuse"", ""take"", ""withhold""]","[""The university will confer degrees at graduation.""]"
confident,"feeling sure about your abilities","[""sure"", ""certain"", ""self-assured""]","[""nervous"", ""unsure"", ""doubtful""]","[""She felt confident about the test.""]"
confine,"to keep within limits or boundaries","[""restrict"", ""limit"", ""contain""]","[""free"", ""release"", ""liberate""]","[""The dog is confined to the garden.""]"
confirm,"to verify that something is true","[""verify"", ""prove"", ""validate""]","[""deny"", ""disprove"", ""contradict""]","[""Please confirm your attendance by Friday.""]"
confiscate,"to take property with authority","[""seize"", ""impound"", ""appropriate""]","[""return"", ""give back"", ""restore""]","[""The teacher will confiscate mobile phones.""]"
conflagration,"a large destructive fire","[""blaze"", ""inferno"", ""fire""]","[""extinguishing"", ""dampness"", ""flood""]","[""The conflagration destroyed the building.""]"
conflict,"a serious disagreement","[""disagreement"", ""dispute"", ""clash""]","[""agreement"", ""peace"", ""harmony""]","[""There was a conflict about the team rules.""]"
confluence,"a coming together of rivers or events","[""convergence"", ""meeting"", ""junction""]","[""divergence"", ""separation"", ""division""]","[""The confluence of factors led to success.""]"
conform,"to comply with rules or standards","[""comply"", ""follow"", ""obey""]","[""defy"", ""deviate"", ""differ"", ""rebel""]","[""Students must conform to the dress code.""]"
confound,"to surprise and confuse greatly","[""bewilder"", ""confuse"", ""perplex""]","[""clarify"", ""enlighten"", ""explain""]","[""The puzzle will confound even the experts.""]"
confront,"to face a problem or challenge","[""challenge"", ""face"", ""tackle""]","[""avoid"", ""evade"", ""ignore""]","[""She had to confront her fears."", ""We must confront these issues directly.""]"
confuse,"to make someone uncertain or bewildered","[""puzzle"", ""bewilder"", ""muddle""]","[""clarify"", ""explain"", ""enlighten""]","[""The difficult question confused the class.""]"
confused,"unable to think clearly or understand","[""puzzled"", ""bewildered"", ""lost""]","[""clear"", ""certain"", ""understanding""]","[""I was confused by the difficult question.""]"
congenial,"pleasant because suited to one's taste","[""agreeable"", ""pleasant"", ""friendly""]","[""disagreeable"", ""unpleasant"", ""hostile""]","[""We found a congenial group of friends.""]"
congregate,"to gather in a crowd","[""assemble"", ""gather"", ""collect""]","[""disperse"", ""scatter"", ""separate""]","[""Fans congregate outside the stadium.""]"
conjecture,"an opinion formed without evidence","[""guess"", ""speculation"", ""theory""]","[""certainty"", ""fact"", ""proof""]","[""The story is based on mere conjecture."", ""The theory is based on conjecture.""]"
conjure,"to make something appear as if by magic","[""create"", ""produce"", ""summon""]","[""banish"", ""destroy"", ""dismiss""]","[""The magician will conjure a rabbit from his hat.""]"
connect,"to join or link things together","[""join"", ""link"", ""attach""]","[""disconnect"", ""separate"", ""detach""]","[""Connect the pieces to complete the puzzle.""]"
connotation,"an idea suggested by a word","[""implication"", ""suggestion"", ""association""]","[""denotation"", ""literal meaning""]","[""The word has negative connotations.""]"
conscientious,"diligent and thorough in work","[""careful"", ""diligent"", ""meticulous""]","[""careless"", ""lazy"", ""negligent"", ""sloppy""]","[""A conscientious worker always checks their work."", ""She is a conscientious worker.""]"
conscious,"aware of your surroundings and thoughts","[""aware"", ""alert"", ""awake""]","[""unconscious"", ""unaware"", ""asleep""]","[""I was conscious of being watched.""]"
consecutive,"following in unbroken sequence","[""continuous"", ""sequential"", ""successive""]","[""broken"", ""intermittent"", ""interrupted"", ""random""]","[""It rained for five consecutive days."", ""She won three consecutive matches.""]"
consensus,"general agreement among a group","[""accord"", ""agreement"", ""unanimity""]","[""disagreement"", ""discord"", ""dissent""]","[""We reached a consensus on the plan."", ""We reached a consensus.""]"
consent,"to give permission for something","[""agree"", ""approve"", ""allow""]","[""refuse"", ""deny"", ""forbid""]","[""You need parental consent for the trip.""]"
consequence,"a result or effect of an action","[""effect"", ""outcome"", ""result""]","[""cause"", ""origin"", ""reason""]","[""Every action has a consequence."", ""Missing practice had a consequence on his performance.""]"
consequential,"following as a result; important","[""significant"", ""important"", ""resultant""]","[""insignificant"", ""unimportant"", ""trivial""]","[""The decision was highly consequential.""]"
conservation,"protection of natural resources","[""preservation"", ""protection"", ""maintenance""]","[""destruction"", ""waste"", ""exploitation""]","[""Conservation of wildlife is essential.""]"
conservatism,"commitment to traditional values","[""traditionalism"", ""conventionalism"", ""orthodoxy""]","[""radicalism"", ""progressivism"", ""liberalism""]","[""Political conservatism shaped the policy.""]"
conserve,"to protect from harm or waste","[""protect"", ""preserve"", ""save""]","[""waste"", ""destroy"", ""squander""]","[""We should conserve water during the drought.""]"
consider,"to think carefully about something","[""think about"", ""ponder"", ""reflect""]","[""ignore"", ""dismiss"", ""overlook""]","[""Consider all the options before you choose.""]"
considerable,"notably large in size or amount","[""large"", ""significant"", ""sizeable"", ""substantial""]","[""insignificant"", ""minor"", ""negligible"", ""small""]","[""A considerable amount of time was spent planning."", ""A considerable amount of work remains.""]"
consist,"to be made up of","[""comprise"", ""contain"", ""include""]","[""exclude"", ""lack"", ""omit""]","[""The team consists of twelve players.""]"
consistent,"acting the same way over time","[""constant"", ""regular"", ""steady"", ""uniform""]","[""erratic"", ""inconsistent"", ""variable""]","[""Her consistent effort led to success."", ""Her performance has been consistent.""]"
consolation,"comfort received after loss or disappointment","[""comfort"", ""relief"", ""solace""]","[""aggravation"", ""distress"", ""upset""]","[""Winning second place was some consolation.""]"
consolidate,"to make position stronger","[""combine"", ""merge"", ""reinforce"", ""secure"", ""strengthen"", ""unite""]","[""divide"", ""scatter"", ""separate"", ""split"", ""weaken""]","[""The companies will consolidate their operations."", ""The company sought to consolidate its market share.""]"
conspicuous,"clearly visible; attracting notice","[""noticeable"", ""obvious"", ""prominent""]","[""hidden"", ""inconspicuous"", ""invisible"", ""unnoticeable""]","[""Her absence was conspicuous."", ""The red car was conspicuous in the car park.""]"
conspire,"to make secret plans together","[""plan"", ""plot"", ""scheme""]","[""disclose"", ""expose"", ""reveal""]","[""They conspired to surprise her on her birthday.""]"
constant,"happening all the time; not changing","[""continuous"", ""endless"", ""steady"", ""unchanging""]","[""changing"", ""intermittent"", ""occasional"", ""variable""]","[""The constant noise kept me awake."", ""The constant rain ruined our picnic.""]"
consternation,"feelings of anxiety or dismay","[""dismay"", ""alarm"", ""distress""]","[""calm"", ""composure"", ""serenity""]","[""The news caused great consternation.""]"
constituent,"a component part of something","[""component"", ""element"", ""part""]","[""whole"", ""entirety"", ""total""]","[""Water is a constituent of the mixture.""]"
constitute,"to form or make up something","[""compose"", ""form"", ""make up""]","[""destroy"", ""disband"", ""dissolve"", ""separate""]","[""Seven days constitute a week."", ""Three teams constitute the league.""]"
constrain,"to limit or restrict something","[""restrict"", ""limit"", ""confine""]","[""free"", ""liberate"", ""release""]","[""Budget constraints will constrain our plans.""]"
constraint,"a limitation or restriction","[""limitation"", ""restraint"", ""restriction""]","[""freedom"", ""liberty"", ""permission""]","[""Budget constraints limit our options."", ""Budget constraints limited options.""]"
constrict,"to make narrower or tighter","[""compress"", ""squeeze"", ""tighten""]","[""expand"", ""loosen"", ""widen""]","[""The snake began to constrict around its prey.""]"
construct,"to build or put together","[""assemble"", ""build"", ""create"", ""make""]","[""demolish"", ""destroy"", ""dismantle"", ""knock down""]","[""They will construct a new playground."", ""Workers will construct the new bridge.""]"
consult,"to seek advice or information from someone","[""ask"", ""seek advice"", ""confer""]","[""ignore"", ""disregard"", ""neglect""]","[""You should consult a doctor about your cough.""]"
consume,"to use up or eat something","[""use"", ""eat"", ""devour""]","[""save"", ""preserve"", ""conserve""]","[""Factories consume large amounts of energy.""]"
contain,"to have something inside","[""hold"", ""include"", ""have""]","[""exclude"", ""release"", ""empty""]","[""This box contains all my toys.""]"
contaminate,"to make something dirty or impure","[""pollute"", ""taint"", ""infect""]","[""purify"", ""clean"", ""sterilise""]","[""Chemicals can contaminate the water supply.""]"
contemplate,"to think deeply about something","[""consider"", ""ponder"", ""reflect""]","[""ignore"", ""dismiss"", ""overlook""]","[""She contemplated her options carefully.""]"
contemporary,"belonging to the present time","[""current"", ""modern"", ""present-day""]","[""ancient"", ""historical"", ""old"", ""old-fashioned"", ""outdated""]","[""The gallery features contemporary art."", ""The museum displays contemporary art.""]"
contempt,"the feeling that something is worthless","[""disdain"", ""disrespect"", ""scorn""]","[""admiration"", ""regard"", ""respect""]","[""She looked at him with contempt."", ""She looked at the mess with contempt.""]"
contend,"to compete or argue","[""compete"", ""struggle"", ""argue""]","[""agree"", ""cooperate"", ""surrender""]","[""Athletes contend for the gold medal.""]"
content,"satisfied and happy with a situation","[""happy"", ""pleased"", ""satisfied""]","[""discontent"", ""discontented"", ""dissatisfied"", ""unhappy""]","[""The cat looked content in the sunshine."", ""The cat looked content sleeping in the sun.""]"
contention,"a heated disagreement or argument","[""dispute"", ""disagreement"", ""argument""]","[""agreement"", ""accord"", ""harmony""]","[""There was much contention over the decision.""]"
contentious,"causing or likely to cause argument","[""controversial"", ""debatable"", ""disputed""]","[""agreeable"", ""agreed"", ""harmonious"", ""uncontroversial"", ""undisputed""]","[""It remains a contentious issue."", ""It remains a contentious political issue.""]"
context,"the circumstances around an event or statement","[""setting"", ""background"", ""situation""]","[""isolation"", ""irrelevance"", ""out-of-context""]","[""You need to understand the context of the story.""]"
contingent,"dependent on uncertain events","[""conditional"", ""dependent"", ""subject to""]","[""unconditional"", ""absolute"", ""certain""]","[""Success is contingent on hard work.""]"
continual,"happening frequently over a period","[""constant"", ""repeated"", ""frequent""]","[""occasional"", ""rare"", ""infrequent""]","[""The continual interruptions were annoying.""]"
continue,"to keep doing something without stopping","[""carry on"", ""proceed"", ""persist""]","[""stop"", ""cease"", ""end""]","[""Please continue reading the story.""]"
contraband,"goods that are illegally imported","[""illegal goods"", ""prohibited items"", ""smuggled items""]","[""authorised items"", ""legal goods"", ""permitted items""]","[""The police discovered contraband in the vehicle.""]"
contradict,"to assert the opposite of a statement","[""deny"", ""dispute"", ""oppose""]","[""agree"", ""confirm"", ""support""]","[""The evidence seems to contradict his story.""]"
contrary,"opposite in nature or direction","[""opposite"", ""opposing"", ""reverse""]","[""similar"", ""same"", ""agreeing""]","[""Contrary to expectations the team won.""]"
contrast,"a striking difference between things","[""difference"", ""distinction"", ""variation""]","[""similarity"", ""likeness"", ""sameness""]","[""The contrast between the two paintings was clear.""]"
contribute,"to give something to help achieve a goal","[""give"", ""donate"", ""add""]","[""withhold"", ""take"", ""subtract""]","[""Everyone should contribute to the project.""]"
contrite,"feeling regret for wrongdoing","[""remorseful"", ""apologetic"", ""penitent""]","[""unrepentant"", ""defiant"", ""proud""]","[""She seemed genuinely contrite.""]"
contrition,"the feeling of remorse for wrongdoing","[""penitence"", ""regret"", ""remorse""]","[""defiance"", ""pride"", ""satisfaction""]","[""He showed genuine contrition for his actions.""]"
controversy,"prolonged public disagreement","[""argument"", ""debate"", ""dispute""]","[""accord"", ""agreement"", ""consensus"", ""harmony""]","[""The decision caused great controversy."", ""The decision caused much controversy.""]"
conundrum,"a confusing and difficult problem","[""puzzle"", ""riddle"", ""dilemma""]","[""solution"", ""answer"", ""certainty""]","[""The situation presented a conundrum.""]"
convenient,"suitable for your needs; easy to use","[""handy"", ""practical"", ""suitable""]","[""inconvenient"", ""awkward"", ""difficult""]","[""The shop is in a convenient location.""]"
conventional,"based on what is traditional","[""orthodox"", ""standard"", ""traditional"", ""usual""]","[""innovative"", ""radical"", ""unconventional"", ""unusual""]","[""They held a conventional wedding ceremony."", ""They preferred a conventional approach."", ""They took a conventional approach.""]"
converge,"to come together at a point","[""join"", ""meet"", ""merge""]","[""diverge"", ""scatter"", ""separate""]","[""All roads converge at the town centre.""]"
convert,"to change from one form to another","[""change"", ""transform"", ""alter""]","[""keep"", ""maintain"", ""preserve""]","[""We need to convert the measurements to metric.""]"
convey,"to communicate or transport something","[""carry"", ""communicate"", ""express""]","[""conceal"", ""hide"", ""withhold""]","[""The author conveys a powerful message."", ""The letter will convey my thanks.""]"
conviction,"a firmly held belief","[""belief"", ""certainty"", ""confidence""]","[""disbelief"", ""doubt"", ""uncertainty""]","[""She spoke with complete conviction."", ""She spoke with great conviction.""]"
convince,"to make someone believe something","[""persuade"", ""satisfy"", ""assure""]","[""discourage"", ""dissuade"", ""deter""]","[""I tried to convince her to come with us.""]"
convoluted,"extremely complex and difficult","[""complicated"", ""complex"", ""intricate""]","[""simple"", ""straightforward"", ""clear""]","[""The plot was convoluted and confusing.""]"
cooperate,"to work together towards a common goal","[""collaborate"", ""help"", ""unite"", ""work together""]","[""argue"", ""compete"", ""hinder"", ""oppose""]","[""We must cooperate to finish on time."", ""We must cooperate to finish the project.""]"
coordinate,"to organise things to work together","[""organise"", ""arrange"", ""synchronise""]","[""disorganise"", ""scatter"", ""confuse""]","[""She will coordinate the school play.""]"
copious,"abundant in supply or quantity","[""plentiful"", ""abundant"", ""ample""]","[""scarce"", ""limited"", ""meagre""]","[""She took copious notes during the lecture.""]"
cordial,"warm and friendly","[""friendly"", ""genial"", ""warm""]","[""cold"", ""hostile"", ""unfriendly""]","[""Relations between the countries are cordial."", ""The meeting was cordial and productive."", ""We received a cordial reception at the hotel."", ""We received a cordial welcome at the hotel.""]"
core,"the central or most important part","[""centre"", ""heart"", ""essence""]","[""edge"", ""exterior"", ""surface""]","[""Hard work is at the core of success.""]"
correlate,"to have a mutual relationship","[""relate"", ""correspond"", ""connect""]","[""differ"", ""contrast"", ""diverge""]","[""The data seems to correlate with our theory.""]"
correspond,"to be similar or exchange letters","[""match"", ""communicate"", ""agree""]","[""differ"", ""contrast"", ""disagree""]","[""The two reports correspond exactly.""]"
corroborate,"to confirm or give support to","[""confirm"", ""support"", ""verify""]","[""contradict"", ""disprove"", ""refute""]","[""Can anyone corroborate his statement?"", ""Witnesses corroborated her account."", ""Witnesses will corroborate her statement.""]"
corrupt,"dishonest or immoral; or to make something bad","[""dishonest"", ""immoral"", ""crooked""]","[""honest"", ""ethical"", ""moral""]","[""The corrupt official was sent to prison.""]"
cosmopolitan,"familiar with many countries and cultures","[""worldly"", ""sophisticated"", ""international""]","[""provincial"", ""parochial"", ""narrow-minded""]","[""London is a cosmopolitan city.""]"
counsel,"advice or guidance given to someone","[""advice"", ""guidance"", ""recommendation""]","[""silence"", ""ignorance"", ""misguidance""]","[""The teacher gave wise counsel to the students.""]"
countenance,"a person's face or facial expression","[""expression"", ""face"", ""features""]","[""back"", ""hidden face"", ""mask""]","[""Her countenance showed signs of worry.""]"
counteract,"to act against and reduce the effect of","[""neutralise"", ""offset"", ""oppose""]","[""support"", ""enhance"", ""reinforce""]","[""Medicine can counteract the symptoms.""]"
counterfeit,"fake and made to look genuine","[""fake"", ""forged"", ""imitation""]","[""authentic"", ""genuine"", ""real""]","[""The police seized counterfeit banknotes.""]"
countless,"too many to count","[""numerous"", ""infinite"", ""many""]","[""few"", ""limited"", ""countable""]","[""There are countless stars in the sky.""]"
courage,"the ability to do something scary or difficult","[""bravery"", ""nerve"", ""boldness""]","[""fear"", ""cowardice"", ""timidity""]","[""It took courage to stand up and speak.""]"
courteous,"polite and respectful in manner","[""polite"", ""respectful"", ""civil""]","[""rude"", ""impolite"", ""discourteous""]","[""The courteous waiter made us feel welcome.""]"
covert,"not openly acknowledged or displayed","[""hidden"", ""secret"", ""undercover""]","[""obvious"", ""open"", ""overt"", ""public""]","[""The spy conducted a covert operation.""]"
covet,"to want something that belongs to another","[""crave"", ""desire"", ""envy""]","[""donate"", ""give"", ""reject""]","[""You should not covet your neighbour's belongings.""]"
coward,"someone who is too afraid to do something difficult or scary","[""weakling"", ""scaredy-cat"", ""chicken""]","[""hero"", ""brave person"", ""champion""]","[""Do not be a coward; try your best."", ""A coward avoids challenges.""]"
create,"to make something new","[""make"", ""produce"", ""invent""]","[""destroy"", ""ruin"", ""copy""]","[""We will create a poster for the classroom.""]"
creature,"any living animal","[""animal"", ""being"", ""beast""]","[""object"", ""machine"", ""thing""]","[""We saw a strange creature in the pond.""]"
credence,"belief in something as true","[""belief"", ""trust"", ""faith""]","[""disbelief"", ""doubt"", ""scepticism""]","[""I give no credence to those rumours.""]"
credibility,"the quality of being trustworthy","[""reliability"", ""trustworthiness"", ""believability""]","[""unreliability"", ""doubt"", ""suspicion""]","[""The scandal damaged his credibility.""]"
credible,"believable and trustworthy","[""believable"", ""trustworthy"", ""reliable""]","[""incredible"", ""unbelievable"", ""doubtful""]","[""Her explanation seemed credible.""]"
cringe,"to shrink back in fear or embarrassment","[""flinch"", ""recoil"", ""wince""]","[""advance"", ""approach"", ""confront""]","[""I cringe when I remember my mistake.""]"
crisis,"a time of intense difficulty or danger","[""emergency"", ""disaster"", ""catastrophe""]","[""calm"", ""peace"", ""stability""]","[""The country faced an economic crisis.""]"
criteria,"standards used for judging something","[""standards"", ""requirements"", ""measures""]","[""guess"", ""whim"", ""randomness""]","[""The criteria for selection are strict.""]"
criterion,"a principle for judging or deciding","[""benchmark"", ""measure"", ""standard""]","[""guess"", ""whim"", ""randomness""]","[""What criterion did you use for selection?"", ""What criterion did you use?""]"
critical,"expressing disapproval; or very important","[""crucial"", ""vital"", ""fault-finding""]","[""unimportant"", ""praising"", ""trivial""]","[""The review was critical of the film.""]"
critique,"a detailed analysis and assessment","[""review"", ""evaluation"", ""assessment""]","[""praise"", ""approval"", ""commendation""]","[""The teacher wrote a critique of the essay.""]"
crucial,"extremely important and necessary","[""critical"", ""essential"", ""vital""]","[""minor"", ""trivial"", ""unimportant""]","[""It is crucial to arrive on time."", ""Teamwork is crucial for success.""]"
crude,"rough and basic; lacking refinement","[""rough"", ""basic"", ""unrefined""]","[""refined"", ""polished"", ""sophisticated""]","[""The crude drawing showed his idea clearly.""]"
culminate,"to reach a climax or final point","[""climax"", ""conclude"", ""peak""]","[""begin"", ""commence"", ""start""]","[""The celebrations culminated in fireworks."", ""The festival will culminate in fireworks.""]"
culpable,"deserving blame","[""guilty"", ""blameworthy"", ""at fault""]","[""innocent"", ""blameless"", ""guiltless""]","[""Both parties were culpable.""]"
culprit,"a person responsible for a crime","[""guilty party"", ""offender"", ""wrongdoer""]","[""bystander"", ""innocent"", ""victim""]","[""Police are searching for the culprit.""]"
